REGION XII,07DCC0013O,LIC. BENITO JUAREZ GARCIA,059,OCOSINGO,0011,LA ARENA,LA ARENA,0,253,12,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XII,07DCC0015M,JOSE SANTOS DEGOLLADO,059,OCOSINGO,0102,LACANJA TZELTAL,LACANJA TZELTAL,0,251,12,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0016L,CUITLAHUAC,064,OXCHUC,0022,MESBILJA,MESBILJA,0,707,07,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0017K,EL NI„O ARTILLERO,038,HUIXTAN,0025,SAN FERNANDO,SAN FERNANDO,0,008,10,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XII,07DCC0018J,VENUSTIANO CARRANZA,059,OCOSINGO,0284,NUEVO CANAN,NUEVO CANAN,0,032,17,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XII,07DCC0020Y,BERNAL DIAZ DEL CASTILLO,059,OCOSINGO,0121,NAZARETH,NAZARETH,0,718,07,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XII,07DCC0022W,FRANCISCO GONZALEZ BOCANEGRA,059,OCOSINGO,0216,SANTA RITA,SANTA RITA,0,252,12,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIV,07DCC0023V,MARIA MONTESSORI,096,TILA,0029,JOCHINTEOL,JOCHINTIOL,0,084,09,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XII,07DCC0024U,DR. MARIO PEREZ RIVERA,059,OCOSINGO,0642,LAS TACITAS,LAS TACITAS,0,712,07,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0025T,LEONA VICARIO,064,OXCHUC,0026,PUILJA,PUILJA,0,707,07,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0026S,CUAUHTEMOC,038,HUIXTAN,0031,SAN PEDRO PEDERNAL,SAN PEDRO PEDERNAL,0,008,10,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0027R,IGNACIO ALLENDE,066,PANTELHO,0086,SAN JOAQUIN,SAN JOAQUIN,0,021,16,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0029P,JOSE MARIA MORELOS Y PAVON,024,CHANAL,0001,CHANAL,CHANAL CABECERA MUNICIPAL,0,007,10,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0030E,JAIME NUNO,024,CHANAL,0001,CHANAL,CHANAL,0,007,10,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XII,07DCC0032C,VENUSTIANO CARRANZA,059,OCOSINGO,0161,SAN ANTONIO LA SOMBRA,SAN ANTONIO LA SOMBRA,0,252,12,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0033B,JUSTICIA SOCIAL,024,CHANAL,0008,SIBERIA,SIBERIA,0,007,10,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0034A,15 DE SEPTIEMBRE,038,HUIXTAN,0003,CARMEN YALCHUCH,CARMEN YALCHUCH,0,008,10,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0035Z,MIGUEL HIDALGO Y COSTILLA,024,CHANAL,0001,CHANAL,BARRIO NUEVO,0,007,10,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0037Y,JUAN ESCUTIA,093,TENEJAPA,0015,MATZAM,MATZAM,0,005,10,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIII,07DCC0041K,FRANCISCO VILLA,065,PALENQUE,1361,JERICO,JERICO,0,253,12,008,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIII,07DCC0042J,TIERRA Y LIBERTAD,065,PALENQUE,1344,NUEVO MEXICO,NUEVO MEXICO,0,253,12,008,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION VII,07DCC0044H,LIBERTADORES DE AMERICA,013,BOCHIL,0056,POMILO,POMILO,0,008,02,007,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION VII,07DCC0045G,SOR JUANA INES DE LA CRUZ,072,PUEBLO NUEVO SOLISTAHUACAN,0054,RINCON CHAMULA,RINCON CHAMULA,0,010,02,007,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0048D,LUZ DEL SABER,049,LARRAINZAR,0024,MAJOVAL,MAJOVAL,0,207,02,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION II,07DCC0049C,JUSTICIA SOCIAL,061,OCOZOCOAUTLA DE ESPINOSA,0526,ABSALON CASTELLANOS DOMINGUEZ,ABSALON CASTELLANOS DOMINGUEZ,0,803,08,000,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION VII,07DCC0053P,ADOLFO LOPEZ MATEOS,014,EL BOSQUE,0004,LOS ANGELES,LOS ANGELES,0,207,02,007,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0054O,JOSE MARTI,022,CHALCHIHUITAN,0003,CHIQUINSHULUM,CHIQUINSHULUM,0,019,16,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0056M,MIGUEL HIDALGO Y COSTILLA,022,CHALCHIHUITAN,0008,SACLUM,SACLUM,0,019,16,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION VII,07DCC0060Z,LUZ EN LA MONTA„A,081,SIMOJOVEL,0050,CHAPAYAL,CHAPAYAL,0,011,16,007,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0062X,MANUEL ACU„A,023,CHAMULA,0048,POZUELOS,POZUELOS,0,049,10,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XV,07DCC0063W,IGNACIO MANUEL ALTAMIRANO,052,LAS MARGARITAS,0094,RAFAEL RAMIREZ,RAFAEL RAMIREZ CASTA„EDA,0,511,05,006,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIV,07DCC0066T,NARCISO MENDOZA,076,SABANILLA,0005,EL BEBEDERO,EL BEBEDERO,0,154,11,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION VII,07DCC0069Q,LA CORREGIDORA DE DOMINGUEZ,072,PUEBLO NUEVO SOLISTAHUACAN,0054,RINCON CHAMULA,RINCON CHAMULA,0,010,02,007,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0070F,DR. MANUEL GAMIO,112,SAN JUAN CANCUC,0005,CHILOLJA,CHILOLJA,0,717,07,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0071E,JULIO DE LA FUENTE,093,TENEJAPA,0019,PACTETON,PACTETON,0,020,10,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XII,07DCC0072D,MOISES SAENZ GARZA,059,OCOSINGO,0416,OJO DE AGUA,OJO DE AGUA,0,252,12,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION VII,07DCC0073C,AQUILES SERDAN,014,EL BOSQUE,0003,ALVARO OBREGON,ALVARO OBREGON,0,207,02,007,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0075A,JOSE SANTOS DEGOLLADO,093,TENEJAPA,0009,CHIXTONTIC,CHIXTONTIC,0,006,10,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION VII,07DCC0076Z,CESAR AUGUSTO SANDINO,039,HUITIUPAN,0015,SANTA CATARINA DE LAS PALMAS,SANTA CATARINA LAS PALMAS,0,071,15,007,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIV,07DCC0077Z,DR. GONZALO AGUIRRE BELTRAN,031,CHILON,0437,SAN MIGUEL CANXANIL,SAN MIGUEL CANXANIL,0,088,17,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XV,07DCC0080M,ROSARIO CASTELLANOS FIGUEROA,052,LAS MARGARITAS,0089,LA PIEDAD,LA PIEDAD,0,502,05,006,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION VII,07DCC0081L,DOROTEO ARANGO,039,HUITIUPAN,0039,LAZARO CARDENAS,LAZARO CARDENAS DEL RIO,0,071,15,007,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION VII,07DCC0082K,IGNACIO ALLENDE,039,HUITIUPAN,0085,SOMBRA CARRIZAL,SOMBRA CARRIZAL,0,071,15,007,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0083J,SOR JUANA INES DE LA CRUZ,026,CHENALHO,0070,CHOJOLHO,CHOJOLHO,0,010,16,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION VII,07DCC0084I,PRIMERO DE MAYO,013,BOCHIL,0092,TIERRA COLORADA,TIERRA COLORADA,0,008,02,007,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0085H,BELISARIO DOMINGUEZ PALENCIA,022,CHALCHIHUITAN,0019,EMILIANO ZAPATA,EMILIANO ZAPATA,0,019,16,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0086G,PRESIDENTE JUAREZ,093,TENEJAPA,0030,YASHANAL,YASHANAL,0,005,10,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIII,07DCC0087F,RAFAEL RAMIREZ CASTA„EDA,065,PALENQUE,1232,MARGARITA MAZA DE JUAREZ,MARGARITA MAZA DE JUAREZ,0,032,17,008,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION II,07DCC0091S,CUAUHTEMOC,061,OCOZOCOAUTLA DE ESPINOSA,0683,NICOLAS BRAVO,NICOLAS BRAVO,0,802,08,000,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0092R,ANAHUAC,026,CHENALHO,0051,TZABALHO,TZABALHO,0,010,16,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION VII,07DCC0093Q,VENUSTIANO CARRANZA,039,HUITIUPAN,0154,NUEVA GENERACION EMILIANO ZAPATA,NUEVA GENERACION EMILIANO ZAPATA,0,071,15,007,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0094P,FRANCISCO INDALECIO MADERO,093,TENEJAPA,0017,NAVIL,NAVENIDAIL,0,005,10,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION II,07DCC0096N,EMILIANO ZAPATA SALAZAR,061,OCOZOCOAUTLA DE ESPINOSA,0630,FRANCISCO I. MADERO,FRANCISCO INDALECIO MADERO,0,803,08,000,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0097M,GUILLERMO PRIETO,056,MITONTIC,0020,SUYALHO,SUYALHO,0,003,16,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0099K,VICENTE GUERRERO,093,TENEJAPA,0039,CA„ADA GRANDE,LA CANADA,0,005,10,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIV,07DCC0101I,NI„OS HEROES,096,TILA,0048,NUEVA ESPERANZA,NUEVA ESPERANZA,0,157,11,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION VII,07DCC0102H,DR. MANUEL GAMIO,073,RAYON,0001,RAYON,COLONIA NUEVO ESQUINAUIPULAS GUAYABAL,0,015,04,003,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION III,07DCC0104F,EL AGRARISTA,092,TECPATAN,0181,LAZARO CARDENAS,LAZARO CARDENAS DEL RIO,0,802,08,000,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIV,07DCC0105E,ROSARIO CASTELLANOS FIGUEROA,096,TILA,0004,ALVARO OBREGON,ALVARO OBREGON,0,152,11,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION VIII,07DCC0106D,GREGORIO TORRES QUINTERO,025,CHAPULTENANGO,0032,BUENOS AIRES,BUENOS AIRES,0,406,04,003,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0108B,LA LUZ DEL SABER,112,SAN JUAN CANCUC,0002,BAQUELCHAN,BAQUELCHAN,0,035,07,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION II,07DCC0109A,SIERVO DE LA NACION,017,CINTALAPA,0178,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,0,805,08,000,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0110Q,GUILLERMO PRIETO,093,TENEJAPA,0018,OCOCH,OCOCH,0,005,10,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XII,07DCC0111P,MARIA MONTESSORI,059,OCOSINGO,0261,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,0,718,07,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XII,07DCC0113N,ERASTO URBINA GARCIA,004,ALTAMIRANO,0078,EL TRIUNFO,EL TRIUNFO,0,716,07,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XII,07DCC0114M,JOSEFA ORTIZ DE DOMINGUEZ,059,OCOSINGO,1141,LA LIBERTAD,LA LIBERTAD,0,032,17,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0115L,VICENTE SUAREZ,093,TENEJAPA,0027,TZAJALCHEN,TZAJALCHEN,0,005,10,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XII,07DCC0117J,MEXICO,004,ALTAMIRANO,0001,ALTAMIRANO,ALTAMIRANO CABECERA MUNICIPAL,0,716,07,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XII,07DCC0118I,DR. MANUEL GAMIO,059,OCOSINGO,0054,LA CULEBRA,LA CULEBRA,0,252,12,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0121W,MARIA MONTESSORI,094,TEOPISCA,0062,BETANIA,BETANIA,0,064,13,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION IV,07DCC0123U,NI„O ARTILLERO,002,ACALA,0119,NUEVO VICENTE GUERRERO (EL CHICHONAL),NUEVO VICENTE GUERRERO (EL CHICHONAL),0,351,13,000,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIV,07DCC0124T,CUAUHTEMOC,031,CHILON,0084,GUAQUITEPEC,GUAQUITEPEC,0,035,07,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION IV,07DCC0125S,FRANCISCO MARQUEZ,083,SOCOLTENANGO,0051,ESTRELLA ROJA,ESTRELLA ROJA,0,352,13,006,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIV,07DCC0126R,MARIA CURIE,031,CHILON,0087,HORIZONTE AMAWITZ,HORIZONTE,0,111,01,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIV,07DCC0127Q,TIERRA Y LIBERTAD,077,SALTO DE AGUA,0030,ESTRELLA DE BELEN,ESTRELLA DE BELEN,0,091,09,008,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIV,07DCC0129O,JOSE VASCONCELOS CALDERON,096,TILA,0076,YOK POKITIOK,YOK POKITIOK,0,157,11,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIV,07DCC0131C,COSIJOEZA,031,CHILON,0360,NAZARETH,NAZARETH,0,108,01,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIV,07DCC0132B,SALVADOR ALLENDE,031,CHILON,0142,PATBAXIL,PATBAXIL,0,111,01,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIV,07DCC0133A,SIMON BOLIVAR,031,CHILON,0216,TACUBA NUEVA,TACUBA NUEVA,0,111,01,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIV,07DCC0134Z,RUBEN DARIO,031,CHILON,0387,TZAJALA,TZAJALA,0,107,01,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XV,07DCC0139V,12 DE OCTUBRE,099,LA TRINITARIA,0472,JOSE CASTILLO TIELEMANS,JOSE CASTILLO TIELEMANS,0,501,05,006,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0140K,24 DE FEBRERO,112,SAN JUAN CANCUC,0018,EL POZO,EL POZO,0,717,07,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIV,07DCC0141J,CHIAPAS,031,CHILON,0103,TZOBOJITLE JOTOAQUIL,TZOBOJITLE JOTOAQUIL,0,715,07,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0143H,AQUILES SERDAN,038,HUIXTAN,0009,LA INDEPENDENCIA,LA INDEPENDENCIA,0,015,10,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIV,07DCC0146E,VASCO DE QUIROGA,031,CHILON,0090,SANTA ROSA,SANTA ROSA,0,035,07,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIV,07DCC0147D,CUAUHTEMOC,031,CHILON,0053,CHABAN,CHABAN,0,106,01,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIV,07DCC0148C,MIGUEL MIRAMON,031,CHILON,0287,XAXAJATIC,XAXAJATIC,0,113,01,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIV,07DCC0149B,AGUSTIN MELGAR,096,TILA,0001,TILA,TILA,0,053,11,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIV,07DCC0150R,IGNACIO ZARAGOZA,096,TILA,0092,VICENTE GUERRERO,VICENTE GUERRERO,0,158,11,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIV,07DCC0151Q,JOSEFA ORTIZ DE DOMINGUEZ,096,TILA,0016,CHEBOPA,CHEBOPA,0,158,11,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIV,07DCC0152P,EL NI„O ARTILLERO,100,TUMBALA,0052,YEVALCHEN,YEVALCHEN,0,155,11,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION VII,07DCC0153O,EMILIANO ZAPATA SALAZAR,014,EL BOSQUE,0016,CHABAJEBAL,CHABAJEBAL,0,202,02,007,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION VII,07DCC0154N,EL PROGRESO,081,SIMOJOVEL,0130,UNION PUYUCUM,UNION PUYUCUM,0,009,16,007,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION VII,07DCC0155M,OVIDIO DECROLY,081,SIMOJOVEL,0086,LUIS ESPINOSA,LUIS ESPINOSA,0,209,15,007,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0156L,5 DE MAYO,022,CHALCHIHUITAN,0005,JOLTEALAL,JOLTEALAL,0,019,16,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XII,07DCC0158J,JAIME NUNO,059,OCOSINGO,0643,LAS TAZAS,LAS TAZAS,0,712,07,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION VII,07DCC0159I,MARIANO MATAMOROS,072,PUEBLO NUEVO SOLISTAHUACAN,0076,SONORA,SONORA,0,010,02,007,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XII,07DCC0164U,VASCO DE QUIROGA,059,OCOSINGO,0494,LA ZARCA,LA ZARCA,0,709,07,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION VII,07DCC0165T,JUAN ESCUTIA,081,SIMOJOVEL,0125,EL PORVENIR,EL PORVENIR,0,208,15,007,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XII,07DCC0167R,GUADALUPE VICTORIA,059,OCOSINGO,0507,FRANCISCO VILLA,EJIDO FRANCISCO VILLA LA LAGUNA,0,259,12,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0168Q,EMILIANO ZAPATA SALAZAR,066,PANTELHO,0068,EL ROBLAR CHISHTONTIC,EL ROBLAR CHISHTONTIC,0,009,16,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIII,07DCC0169P,JUAN ALDAMA,065,PALENQUE,0211,AUGUSTO GOMEZ VILLANUEVA,AUGUSTO GOMEZ VILLANUEVA,0,253,12,008,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIII,07DCC0170E,AGUSTIN MELGAR,065,PALENQUE,0068,MEDELLIN 2DA. SECCION,MEDILLIN SEGUNDA SECCION II,0,088,17,008,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION IV,07DCC0174A,AGUSTIN YANEZ,106,VENUSTIANO CARRANZA,0121,SAN LAZARO,SAN LAZARO,0,353,13,000,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XII,07DCC0176Z,MVZ MARIO PEREZ RIVERA,059,OCOSINGO,0871,SAN CARALAMPIO,SAN CARALAMPIO,0,705,07,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION VIII,07DCC0177Y,NI„OS HEROES,043,IXTACOMITAN,0001,IXTACOMITAN,COLONIA SAN MIGUEL,0,402,04,003,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XII,07DCC0179W,XICOTENCATL,059,OCOSINGO,0575,EL CENSO,EL CENSO,0,705,07,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIV,07DCC0180L,TENOCHTITLAN,031,CHILON,0635,CHIQUINIVAL,CHIQUINIVAL,0,710,07,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XV,07DCC0181K,CUAUHTEMOC,052,LAS MARGARITAS,0502,SAN BARTOLO,SAN BARTOLO,0,508,05,006,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XV,07DCC0182J,MEXICO,052,LAS MARGARITAS,0165,PLAN DE SANTO TOMAS,PLAN DE SANTO TOMAS,0,505,05,006,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
